SIZE ,SHAPE ,RADIUS OF CORNERS ,STOCK ,COLORSPEC ,COATING ,,,RunSize,UnitPrice,TotalPrice
"2.125"" x 3.375"" (EU Standard)",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/5 (4/4 with Foil on Both Sides),UV on 4-color side,,,2500,0.0940,235.00
"2.125"" x 3.375"" (EU Standard)",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/5 (4/4 with Foil on Both Sides),UV on 4-color side,,,5000,0.0695,347.75
"2.125"" x 3.375"" (EU Standard)",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/4 (4/4 with Foil on Front),No Coating,,,500,0.1906,95.28
"2.125"" x 3.375"" (EU Standard)",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/4 (4/4 with Foil on Front),No Coating,,,1000,0.1159,115.93
"2.125"" x 3.375"" (EU Standard)",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/4 (4/4 with Foil on Front),No Coating,,,2500,0.0953,238.18
"2.125"" x 3.375"" (EU Standard)",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/4 (4/4 with Foil on Front),No Coating,,,5000,0.0699,349.33
"2.125"" x 3.375"" (EU Standard)",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Front,,500,0.2263,113.14
"2.125"" x 3.375"" (EU Standard)",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Front,,1000,0.1409,140.92
"2.125"" x 3.375"" (EU Standard)",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Front,,2500,0.1175,293.76
"2.125"" x 3.375"" (EU Standard)",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Front,,5000,0.0869,434.69
"2.125"" x 3.375"" (EU Standard)",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Both Sides,,500,0.2263,113.14
"2.125"" x 3.375"" (EU Standard)",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Both Sides,,1000,0.1409,140.92
"2.125"" x 3.375"" (EU Standard)",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Both Sides,,2500,0.1175,293.76
"2.125"" x 3.375"" (EU Standard)",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Both Sides,,5000,0.0869,434.69
"2.125"" x 3.375"" (EU Standard)",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Back,,500,0.2263,113.14
"2.125"" x 3.375"" (EU Standard)",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Back,,1000,0.1409,140.92
"2.125"" x 3.375"" (EU Standard)",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Back,,2500,0.1175,293.76
"2.125"" x 3.375"" (EU Standard)",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Back,,5000,0.0869,434.69
"2.125"" x 3.375"" (EU Standard)",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/4 (4/4 with Foil on Front),UV on 4-color side,,,500,0.1810,90.51
"2.125"" x 3.375"" (EU Standard)",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/4 (4/4 with Foil on Front),UV on 4-color side,,,1000,0.1127,112.73
"2.125"" x 3.375"" (EU Standard)",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/4 (4/4 with Foil on Front),UV on 4-color side,,,2500,0.0940,235.00
"2.125"" x 3.375"" (EU Standard)",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/4 (4/4 with Foil on Front),UV on 4-color side,,,5000,0.0695,347.75
"2.125"" x 3.375"" (EU Standard)",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,4/5 (4/4 with Foil on Back),No Coating,,,500,0.1906,95.28
"2.125"" x 3.375"" (EU Standard)",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,4/5 (4/4 with Foil on Back),No Coating,,,1000,0.1159,115.93
"2.125"" x 3.375"" (EU Standard)",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,4/5 (4/4 with Foil on Back),No Coating,,,2500,0.0953,238.18
"2.125"" x 3.375"" (EU Standard)",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,4/5 (4/4 with Foil on Back),No Coating,,,5000,0.0699,349.33
"2.125"" x 3.375"" (EU Standard)",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,4/5 (4/4 with Foil on Back),Spot UV,Spot UV Front,,500,0.2263,113.14
"2.125"" x 3.375"" (EU Standard)",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,4/5 (4/4 with Foil on Back),Spot UV,Spot UV Front,,1000,0.1409,140.92
"2.125"" x 3.375"" (EU Standard)",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,4/5 (4/4 with Foil on Back),Spot UV,Spot UV Front,,2500,0.1175,293.76
"2.125"" x 3.375"" (EU Standard)",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,4/5 (4/4 with Foil on Back),Spot UV,Spot UV Front,,5000,0.0869,434.69
"2.125"" x 3.375"" (EU Standard)",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,4/5 (4/4 with Foil on Back),Spot UV,Spot UV Both Sides,,500,0.2263,113.14
"2.125"" x 3.375"" (EU Standard)",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,4/5 (4/4 with Foil on Back),Spot UV,Spot UV Both Sides,,1000,0.1409,140.92
"2.125"" x 3.375"" (EU Standard)",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,4/5 (4/4 with Foil on Back),Spot UV,Spot UV Both Sides,,2500,0.1175,293.76
"2.125"" x 3.375"" (EU Standard)",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,4/5 (4/4 with Foil on Back),Spot UV,Spot UV Both Sides,,5000,0.0869,434.69
"2.125"" x 3.375"" (EU Standard)",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,4/5 (4/4 with Foil on Back),Spot UV,Spot UV Back,,500,0.2263,113.14
"2.125"" x 3.375"" (EU Standard)",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,4/5 (4/4 with Foil on Back),Spot UV,Spot UV Back,,1000,0.1409,140.92
"2.125"" x 3.375"" (EU Standard)",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,4/5 (4/4 with Foil on Back),Spot UV,Spot UV Back,,2500,0.1175,293.76
"2.125"" x 3.375"" (EU Standard)",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,4/5 (4/4 with Foil on Back),Spot UV,Spot UV Back,,5000,0.0869,434.69
"2.125"" x 3.375"" (EU Standard)",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,4/5 (4/4 with Foil on Back),UV on 4-color side,,,500,0.1810,90.51
"2.125"" x 3.375"" (EU Standard)",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,4/5 (4/4 with Foil on Back),UV on 4-color side,,,1000,0.1127,112.73
"2.125"" x 3.375"" (EU Standard)",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,4/5 (4/4 with Foil on Back),UV on 4-color side,,,2500,0.0940,235.00
"2.125"" x 3.375"" (EU Standard)",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,4/5 (4/4 with Foil on Back),UV on 4-color side,,,5000,0.0695,347.75
"2.125"" x 3.375"" (EU Standard)",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/1 (4/1 with Foil on Front),No Coating,,,500,0.1651,82.57
"2.125"" x 3.375"" (EU Standard)",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/1 (4/1 with Foil on Front),No Coating,,,1000,0.1191,119.09
"2.125"" x 3.375"" (EU Standard)",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/1 (4/1 with Foil on Front),No Coating,,,2500,0.0813,203.25
"2.125"" x 3.375"" (EU Standard)",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/1 (4/1 with Foil on Front),No Coating,,,5000,0.0603,301.69
"2.125"" x 3.375"" (EU Standard)",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/1 (4/1 with Foil on Front),Spot UV,Spot UV Front,,500,0.1985,99.25
"2.125"" x 3.375"" (EU Standard)",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/1 (4/1 with Foil on Front),Spot UV,Spot UV Front,,1000,0.1449,144.91
"2.125"" x 3.375"" (EU Standard)",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/1 (4/1 with Foil on Front),Spot UV,Spot UV Front,,2500,0.1000,250.10
"2.125"" x 3.375"" (EU Standard)",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/1 (4/1 with Foil on Front),Spot UV,Spot UV Front,,5000,0.0746,373.15
"2.125"" x 3.375"" (EU Standard)",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/1 (4/1 with Foil on Front),Spot UV,Spot UV Both Sides,,500,0.1985,99.25
"2.125"" x 3.375"" (EU Standard)",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/1 (4/1 with Foil on Front),Spot UV,Spot UV Both Sides,,1000,0.1449,144.91
"2.125"" x 3.375"" (EU Standard)",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/1 (4/1 with Foil on Front),Spot UV,Spot UV Both Sides,,2500,0.1000,250.10
"2.125"" x 3.375"" (EU Standard)",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/1 (4/1 with Foil on Front),Spot UV,Spot UV Both Sides,,5000,0.0746,373.15
"2.125"" x 3.375"" (EU Standard)",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/1 (4/1 with Foil on Front),Spot UV,Spot UV Back,,500,0.1985,99.25
"2.125"" x 3.375"" (EU Standard)",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/1 (4/1 with Foil on Front),Spot UV,Spot UV Back,,1000,0.1449,144.91
"2.125"" x 3.375"" (EU Standard)",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/1 (4/1 with Foil on Front),Spot UV,Spot UV Back,,2500,0.1000,250.10
"2.125"" x 3.375"" (EU Standard)",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/1 (4/1 with Foil on Front),Spot UV,Spot UV Back,,5000,0.0746,373.15
"2.125"" x 3.375"" (EU Standard)",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/1 (4/1 with Foil on Front),UV on 4-color side,,,500,0.1588,79.40
"2.125"" x 3.375"" (EU Standard)",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/1 (4/1 with Foil on Front),UV on 4-color side,,,1000,0.1159,115.93
"2.125"" x 3.375"" (EU Standard)",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/1 (4/1 with Foil on Front),UV on 4-color side,,,2500,0.0800,200.08
"2.125"" x 3.375"" (EU Standard)",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/1 (4/1 with Foil on Front),UV on 4-color side,,,5000,0.0597,298.52
"2.125"" x 3.375"" (EU Standard)",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/0 (4/0 with Foil on Front),No Coating,,,500,0.1461,73.04
"2.125"" x 3.375"" (EU Standard)",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/0 (4/0 with Foil on Front),No Coating,,,1000,0.1048,104.79
"2.125"" x 3.375"" (EU Standard)",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/0 (4/0 with Foil on Front),No Coating,,,2500,0.0749,187.37
"2.125"" x 3.375"" (EU Standard)",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/0 (4/0 with Foil on Front),No Coating,,,5000,0.0572,285.82
"2.125"" x 3.375"" (EU Standard)",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/0 (4/0 with Foil on Front),Spot UV,Spot UV Front,,500,0.1747,87.33
"2.125"" x 3.375"" (EU Standard)",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/0 (4/0 with Foil on Front),Spot UV,Spot UV Front,,1000,0.1270,127.03
"2.125"" x 3.375"" (EU Standard)",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/0 (4/0 with Foil on Front),Spot UV,Spot UV Front,,2500,0.0921,230.24
"2.125"" x 3.375"" (EU Standard)",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/0 (4/0 with Foil on Front),Spot UV,Spot UV Front,,5000,0.0707,353.31
"2.125"" x 3.375"" (EU Standard)",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/0 (4/0 with Foil on Front),UV on 4-color side,,,500,0.1397,69.86
"2.125"" x 3.375"" (EU Standard)",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/0 (4/0 with Foil on Front),UV on 4-color side,,,1000,0.1016,101.62
"2.125"" x 3.375"" (EU Standard)",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/0 (4/0 with Foil on Front),UV on 4-color side,,,2500,0.0737,184.19
"2.125"" x 3.375"" (EU Standard)",Rounded 4 Corners,"Rounded 1/8""",16PT C2S,5/0 (4/0 with Foil on Front),UV on 4-color side,,,5000,0.0565,282.65
"2.125"" x 3.375"" (EU Standard)",Rectangle,,16PT C2S,5/5 (4/4 with Foil on Both Sides),No Coating,,,500,0.1683,84.15
"2.125"" x 3.375"" (EU Standard)",Rectangle,,16PT C2S,5/5 (4/4 with Foil on Both Sides),No Coating,,,1000,0.1111,111.15
"2.125"" x 3.375"" (EU Standard)",Rectangle,,16PT C2S,5/5 (4/4 with Foil on Both Sides),No Coating,,,2500,0.0826,206.41
"2.125"" x 3.375"" (EU Standard)",Rectangle,,16PT C2S,5/5 (4/4 with Foil on Both Sides),No Coating,,,5000,0.0588,293.76
"2.125"" x 3.375"" (EU Standard)",Rectangle,,16PT C2S,5/5 (4/4 with Foil on Both Sides),Spot UV,Spot UV Front,,500,0.2024,101.22
"2.125"" x 3.375"" (EU Standard)",Rectangle,,16PT C2S,5/5 (4/4 with Foil on Both Sides),Spot UV,Spot UV Front,,1000,0.1350,134.96
"2.125"" x 3.375"" (EU Standard)",Rectangle,,16PT C2S,5/5 (4/4 with Foil on Both Sides),Spot UV,Spot UV Front,,2500,0.1016,254.06
"2.125"" x 3.375"" (EU Standard)",Rectangle,,16PT C2S,5/5 (4/4 with Foil on Both Sides),Spot UV,Spot UV Front,,5000,0.0726,363.22
"2.125"" x 3.375"" (EU Standard)",Rectangle,,16PT C2S,5/5 (4/4 with Foil on Both Sides),Spot UV,Spot UV Both Sides,,500,0.2024,101.22
"2.125"" x 3.375"" (EU Standard)",Rectangle,,16PT C2S,5/5 (4/4 with Foil on Both Sides),Spot UV,Spot UV Both Sides,,1000,0.1350,134.96
"2.125"" x 3.375"" (EU Standard)",Rectangle,,16PT C2S,5/5 (4/4 with Foil on Both Sides),Spot UV,Spot UV Both Sides,,2500,0.1016,254.06
"2.125"" x 3.375"" (EU Standard)",Rectangle,,16PT C2S,5/5 (4/4 with Foil on Both Sides),Spot UV,Spot UV Both Sides,,5000,0.0726,363.22
"2.125"" x 3.375"" (EU Standard)",Rectangle,,16PT C2S,5/5 (4/4 with Foil on Both Sides),Spot UV,Spot UV Back,,500,0.2024,101.22
"2.125"" x 3.375"" (EU Standard)",Rectangle,,16PT C2S,5/5 (4/4 with Foil on Both Sides),Spot UV,Spot UV Back,,1000,0.1350,134.96
"2.125"" x 3.375"" (EU Standard)",Rectangle,,16PT C2S,5/5 (4/4 with Foil on Both Sides),Spot UV,Spot UV Back,,2500,0.1016,254.06
"2.125"" x 3.375"" (EU Standard)",Rectangle,,16PT C2S,5/5 (4/4 with Foil on Both Sides),Spot UV,Spot UV Back,,5000,0.0726,363.22
"2.125"" x 3.375"" (EU Standard)",Rectangle,,16PT C2S,5/5 (4/4 with Foil on Both Sides),UV on 4-color side,,,500,0.1619,80.97
"2.125"" x 3.375"" (EU Standard)",Rectangle,,16PT C2S,5/5 (4/4 with Foil on Both Sides),UV on 4-color side,,,1000,0.1080,107.97
"2.125"" x 3.375"" (EU Standard)",Rectangle,,16PT C2S,5/5 (4/4 with Foil on Both Sides),UV on 4-color side,,,2500,0.0813,203.25
"2.125"" x 3.375"" (EU Standard)",Rectangle,,16PT C2S,5/5 (4/4 with Foil on Both Sides),UV on 4-color side,,,5000,0.0581,290.58
"2.125"" x 3.375"" (EU Standard)",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),No Coating,,,500,0.1683,84.15
"2.125"" x 3.375"" (EU Standard)",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),No Coating,,,1000,0.1111,111.15
"2.125"" x 3.375"" (EU Standard)",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),No Coating,,,2500,0.0826,206.41
"2.125"" x 3.375"" (EU Standard)",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),No Coating,,,5000,0.0588,293.76
"2.125"" x 3.375"" (EU Standard)",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Front,,500,0.2024,101.22
"2.125"" x 3.375"" (EU Standard)",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Front,,1000,0.1350,134.96
"2.125"" x 3.375"" (EU Standard)",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Front,,2500,0.1016,254.06
"2.125"" x 3.375"" (EU Standard)",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Front,,5000,0.0726,363.22
"2.125"" x 3.375"" (EU Standard)",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Both Sides,,500,0.2024,101.22
"2.125"" x 3.375"" (EU Standard)",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Both Sides,,1000,0.1350,134.96
"2.125"" x 3.375"" (EU Standard)",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Both Sides,,2500,0.1016,254.06
"2.125"" x 3.375"" (EU Standard)",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Both Sides,,5000,0.0726,363.22
"2.125"" x 3.375"" (EU Standard)",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Back,,500,0.2024,101.22
"2.125"" x 3.375"" (EU Standard)",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Back,,1000,0.1350,134.96
"2.125"" x 3.375"" (EU Standard)",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Back,,2500,0.1016,254.06
"2.125"" x 3.375"" (EU Standard)",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),Spot UV,Spot UV Back,,5000,0.0726,363.22
"2.125"" x 3.375"" (EU Standard)",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),UV on 4-color side,,,500,0.1619,80.97
"2.125"" x 3.375"" (EU Standard)",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),UV on 4-color side,,,1000,0.1080,107.97
"2.125"" x 3.375"" (EU Standard)",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),UV on 4-color side,,,2500,0.0813,203.25
"2.125"" x 3.375"" (EU Standard)",Rectangle,,16PT C2S,5/4 (4/4 with Foil on Front),UV on 4-color side,,,5000,0.0581,290.58
"2.125"" x 3.375"" (EU Standard)",Rectangle,,16PT C2S,4/5 (4/4 with Foil on Back),No Coating,,,500,0.1683,84.15
"2.125"" x 3.375"" (EU Standard)",Rectangle,,16PT C2S,4/5 (4/4 with Foil on Back),No Coating,,,1000,0.1111,111.15
"2.125"" x 3.375"" (EU Standard)",Rectangle,,16PT C2S,4/5 (4/4 with Foil on Back),No Coating,,,2500,0.0826,206.41
"2.125"" x 3.375"" (EU Standard)",Rectangle,,16PT C2S,4/5 (4/4 with Foil on Back),No Coating,,,5000,0.0588,293.76
"2.125"" x 3.375"" (EU Standard)",Rectangle,,16PT C2S,4/5 (4/4 with Foil on Back),Spot UV,Spot UV Front,,500,0.2024,101.22
"2.125"" x 3.375"" (EU Standard)",Rectangle,,16PT C2S,4/5 (4/4 with Foil on Back),Spot UV,Spot UV Front,,1000,0.1350,134.96
"2.125"" x 3.375"" (EU Standard)",Rectangle,,16PT C2S,4/5 (4/4 with Foil on Back),Spot UV,Spot UV Front,,2500,0.1016,254.06
"2.125"" x 3.375"" (EU Standard)",Rectangle,,16PT C2S,4/5 (4/4 with Foil on Back),Spot UV,Spot UV Front,,5000,0.0726,363.22
"2.125"" x 3.375"" (EU Standard)",Rectangle,,16PT C2S,4/5 (4/4 with Foil on Back),Spot UV,Spot UV Both Sides,,500,0.2024,101.22
"2.125"" x 3.375"" (EU Standard)",Rectangle,,16PT C2S,4/5 (4/4 with Foil on Back),Spot UV,Spot UV Both Sides,,1000,0.1350,134.96
"2.125"" x 3.375"" (EU Standard)",Rectangle,,16PT C2S,4/5 (4/4 with Foil on Back),Spot UV,Spot UV Both Sides,,2500,0.1016,254.06
"2.125"" x 3.375"" (EU Standard)",Rectangle,,16PT C2S,4/5 (4/4 with Foil on Back),Spot UV,Spot UV Both Sides,,5000,0.0726,363.22
"2.125"" x 3.375"" (EU Standard)",Rectangle,,16PT C2S,4/5 (4/4 with Foil on Back),Spot UV,Spot UV Back,,500,0.2024,101.22
"2.125"" x 3.375"" (EU Standard)",Rectangle,,16PT C2S,4/5 (4/4 with Foil on Back),Spot UV,Spot UV Back,,1000,0.1350,134.96
"2.125"" x 3.375"" (EU Standard)",Rectangle,,16PT C2S,4/5 (4/4 with Foil on Back),Spot UV,Spot UV Back,,2500,0.1016,254.06
"2.125"" x 3.375"" (EU Standard)",Rectangle,,16PT C2S,4/5 (4/4 with Foil on Back),Spot UV,Spot UV Back,,5000,0.0726,363.22
"2.125"" x 3.375"" (EU Standard)",Rectangle,,16PT C2S,4/5 (4/4 with Foil on Back),UV on 4-color side,,,500,0.1619,80.97
"2.125"" x 3.375"" (EU Standard)",Rectangle,,16PT C2S,4/5 (4/4 with Foil on Back),UV on 4-color side,,,1000,0.1080,107.97
"2.125"" x 3.375"" (EU Standard)",Rectangle,,16PT C2S,4/5 (4/4 with Foil on Back),UV on 4-color side,,,2500,0.0813,203.25
"2.125"" x 3.375"" (EU Standard)",Rectangle,,16PT C2S,4/5 (4/4 with Foil on Back),UV on 4-color side,,,5000,0.0581,290.58
"2.125"" x 3.375"" (EU Standard)",Rectangle,,16PT C2S,5/1 (4/1 with Foil on Front),No Coating,,,500,0.1461,73.04
"2.125"" x 3.375"" (EU Standard)",Rectangle,,16PT C2S,5/1 (4/1 with Foil on Front),No Coating,,,1000,0.1032,103.22
"2.125"" x 3.375"" (EU Standard)",Rectangle,,16PT C2S,5/1 (4/1 with Foil on Front),No Coating,,,2500,0.0673,168.32
"2.125"" x 3.375"" (EU Standard)",Rectangle,,16PT C2S,5/1 (4/1 with Foil on Front),No Coating,,,5000,0.0480,239.77
"2.125"" x 3.375"" (EU Standard)",Rectangle,,16PT C2S,5/1 (4/1 with Foil on Front),Spot UV,Spot UV Front,,500,0.1747,87.33
"2.125"" x 3.375"" (EU Standard)",Rectangle,,16PT C2S,5/1 (4/1 with Foil on Front),Spot UV,Spot UV Front,,1000,0.1211,121.07
"2.125"" x 3.375"" (EU Standard)",Rectangle,,16PT C2S,5/1 (4/1 with Foil on Front),Spot UV,Spot UV Front,,2500,0.0826,206.41
"2.125"" x 3.375"" (EU Standard)",Rectangle,,16PT C2S,5/1 (4/1 with Foil on Front),Spot UV,Spot UV Front,,5000,0.0591,295.73
"2.125"" x 3.375"" (EU Standard)",Rectangle,,16PT C2S,5/1 (4/1 with Foil on Front),Spot UV,Spot UV Both Sides,,500,0.1747,87.33
"2.125"" x 3.375"" (EU Standard)",Rectangle,,16PT C2S,5/1 (4/1 with Foil on Front),Spot UV,Spot UV Both Sides,,1000,0.1211,121.07
"2.125"" x 3.375"" (EU Standard)",Rectangle,,16PT C2S,5/1 (4/1 with Foil on Front),Spot UV,Spot UV Both Sides,,2500,0.0826,206.41
"2.125"" x 3.375"" (EU Standard)",Rectangle,,16PT C2S,5/1 (4/1 with Foil on Front),Spot UV,Spot UV Both Sides,,5000,0.0591,295.73
"2.125"" x 3.375"" (EU Standard)",Rectangle,,16PT C2S,5/1 (4/1 with Foil on Front),Spot UV,Spot UV Back,,500,0.1747,87.33
"2.125"" x 3.375"" (EU Standard)",Rectangle,,16PT C2S,5/1 (4/1 with Foil on Front),Spot UV,Spot UV Back,,1000,0.1211,121.07
"2.125"" x 3.375"" (EU Standard)",Rectangle,,16PT C2S,5/1 (4/1 with Foil on Front),Spot UV,Spot UV Back,,2500,0.0826,206.41
"2.125"" x 3.375"" (EU Standard)",Rectangle,,16PT C2S,5/1 (4/1 with Foil on Front),Spot UV,Spot UV Back,,5000,0.0591,295.73
"2.125"" x 3.375"" (EU Standard)",Rectangle,,16PT C2S,5/1 (4/1 with Foil on Front),UV on 4-color side,,,500,0.1397,69.86
"2.125"" x 3.375"" (EU Standard)",Rectangle,,16PT C2S,5/1 (4/1 with Foil on Front),UV on 4-color side,,,1000,0.0969,96.86
"2.125"" x 3.375"" (EU Standard)",Rectangle,,16PT C2S,5/1 (4/1 with Foil on Front),UV on 4-color side,,,2500,0.0661,165.13
"2.125"" x 3.375"" (EU Standard)",Rectangle,,16PT C2S,5/1 (4/1 with Foil on Front),UV on 4-color side,,,5000,0.0473,236.59
"2.125"" x 3.375"" (EU Standard)",Rectangle,,16PT C2S,5/0 (4/0 with Foil on Front),No Coating,,,500,0.1302,65.10
"2.125"" x 3.375"" (EU Standard)",Rectangle,,16PT C2S,5/0 (4/0 with Foil on Front),No Coating,,,1000,0.0905,90.51
"2.125"" x 3.375"" (EU Standard)",Rectangle,,16PT C2S,5/0 (4/0 with Foil on Front),No Coating,,,2500,0.0616,154.02
"2.125"" x 3.375"" (EU Standard)",Rectangle,,16PT C2S,5/0 (4/0 with Foil on Front),No Coating,,,5000,0.0451,225.48
"2.125"" x 3.375"" (EU Standard)",Rectangle,,16PT C2S,5/0 (4/0 with Foil on Front),Spot UV,Spot UV Front,,500,0.1548,77.42
"2.125"" x 3.375"" (EU Standard)",Rectangle,,16PT C2S,5/0 (4/0 with Foil on Front),Spot UV,Spot UV Front,,1000,0.1092,109.17
"2.125"" x 3.375"" (EU Standard)",Rectangle,,16PT C2S,5/0 (4/0 with Foil on Front),Spot UV,Spot UV Front,,2500,0.0754,188.56
"2.125"" x 3.375"" (EU Standard)",Rectangle,,16PT C2S,5/0 (4/0 with Foil on Front),Spot UV,Spot UV Front,,5000,0.0556,277.87
"2.125"" x 3.375"" (EU Standard)",Rectangle,,16PT C2S,5/0 (4/0 with Foil on Front),UV on 4-color side,,,500,0.1239,61.93
"2.125"" x 3.375"" (EU Standard)",Rectangle,,16PT C2S,5/0 (4/0 with Foil on Front),UV on 4-color side,,,1000,0.0873,87.33
"2.125"" x 3.375"" (EU Standard)",Rectangle,,16PT C2S,5/0 (4/0 with Foil on Front),UV on 4-color side,,,2500,0.0603,150.85
"2.125"" x 3.375"" (EU Standard)",Rectangle,,16PT C2S,5/0 (4/0 with Foil on Front),UV on 4-color side,,,5000,0.0445,222.30
